goroutine,duration,hit_rate
10,10000,0.884456
10,100000,0.984381
10,200000,0.774388
10,500000,0.993081
10,1000000,0.969346
10,5000000,0.906157
10,10000000,0.969008
10,25000000,0.944090
10,50000000,0.993395
10,100000000,0.999999
10,250000000,1.000000
10,500000000,1.000000
100,10000,0.793406
100,100000,0.997960
100,200000,0.798587
100,500000,0.997067
100,1000000,0.603369
100,5000000,0.804046
100,10000000,0.999229
100,25000000,0.997642
100,50000000,0.992880
100,100000000,0.994742
100,250000000,0.999213
100,500000000,1.000000
1000,10000,0.906077
1000,100000,0.991483
1000,200000,0.998144
1000,500000,0.990220
1000,1000000,0.998655
1000,5000000,0.845617
1000,10000000,0.994108
1000,25000000,0.997613
1000,50000000,0.832058
1000,100000000,0.877206
1000,250000000,0.999994
1000,500000000,1.000000
10000,10000,0.975134
10000,100000,0.993064
10000,200000,0.926717
10000,500000,0.990942
10000,1000000,0.900286
10000,5000000,0.995714
10000,10000000,0.991708
10000,25000000,0.993316
10000,50000000,0.996226
10000,100000000,0.987041
10000,250000000,0.999999
10000,500000000,0.999999
