goroutine,duration,hit_rate
10,10000,0.002069
10,100000,0.016410
10,200000,0.037566
10,500000,0.068898
10,1000000,0.003107
10,5000000,0.000027
10,10000000,0.041082
10,25000000,0.037761
10,50000000,0.000047
10,100000000,0.000003
10,250000000,0.000000
10,500000000,0.000000
100,10000,0.000001
100,100000,0.000020
100,200000,0.134576
100,500000,0.000003
100,1000000,0.000014
100,5000000,0.000006
100,10000000,0.153074
100,25000000,0.000005
100,50000000,0.000017
100,100000000,0.000116
100,250000000,0.000000
100,500000000,0.000000
1000,10000,0.000087
1000,100000,0.000060
1000,200000,0.000001
1000,500000,0.000005
1000,1000000,0.000002
1000,5000000,0.000508
1000,10000000,0.000081
1000,25000000,0.000001
1000,50000000,0.000003
1000,100000000,0.000000
1000,250000000,0.000001
1000,500000000,0.000000
10000,10000,0.135113
10000,100000,0.000166
10000,200000,0.065410
10000,500000,0.000044
10000,1000000,0.103570
10000,5000000,0.000033
10000,10000000,0.000021
10000,25000000,0.093485
10000,50000000,0.000565
10000,100000000,0.000060
10000,250000000,0.000002
10000,500000000,0.000000
