goroutine,duration,hit_rate
10,10000,0.996984
10,100000,0.999464
10,200000,0.999686
10,500000,0.999866
10,1000000,0.999913
10,5000000,0.999987
10,10000000,0.999994
10,25000000,0.999997
10,50000000,0.999999
10,100000000,1.000000
10,250000000,1.000000
10,500000000,1.000000
100,10000,0.999611
100,100000,0.998851
100,200000,0.999333
100,500000,0.999602
100,1000000,0.999825
100,5000000,0.999985
100,10000000,0.999990
100,25000000,0.999993
100,50000000,0.999996
100,100000000,0.999998
100,250000000,1.000000
100,500000000,1.000000
1000,10000,0.997925
1000,100000,0.998957
1000,200000,0.999212
1000,500000,0.999606
1000,1000000,0.999845
1000,5000000,0.999984
1000,10000000,0.999989
1000,25000000,0.999993
1000,50000000,0.999996
1000,100000000,0.999998
1000,250000000,1.000000
1000,500000000,1.000000
10000,10000,0.997600
10000,100000,0.998890
10000,200000,0.999519
10000,500000,0.999654
10000,1000000,0.999884
10000,5000000,0.999992
10000,10000000,0.999994
10000,25000000,0.999997
10000,50000000,0.999997
10000,100000000,0.999999
10000,250000000,1.000000
10000,500000000,1.000000
