name,operation,key size(B),value size(B),thread,operation count,time(ns),vmrss(KB),file size(B)
Kv,set,4,1024,16,706897,5000695206,991264,1693696
Kv,get,4,1024,16,706147,5000695206,991264,1693696
Kv,set,4,1024,16,1083364,10000875066,1769960,2206720
Kv,get,4,1024,16,1082076,10000875066,1769960,2206720
Kv,set,4,1024,16,1242832,15001074853,1917724,2647040
Kv,get,4,1024,16,1241293,15001074853,1917724,2647040
Kv,set,16,1024,16,653580,5000394285,2764560,1394176
Kv,get,16,1024,16,652769,5000394285,2764560,1394176
Kv,set,16,1024,16,1045307,10000584083,2886848,1807360
Kv,get,16,1024,16,1044687,10000584083,2886848,1807360
Kv,set,16,1024,16,1192439,15000772269,2919704,2613248
Kv,get,16,1024,16,1191582,15000772269,2919704,2613248
Kv,set,64,1024,16,655437,5000312481,2642676,1801728
Kv,get,64,1024,16,655416,5000312481,2642676,1801728
Kv,set,64,1024,16,1103653,10000472623,2856460,2196068
Kv,get,64,1024,16,1105009,10000472623,2856460,2196068
Kv,set,64,1024,16,1330121,15000655399,2896108,2851328
Kv,get,64,1024,16,1331509,15000655399,2896108,2851328
Kv,set,256,1024,16,588552,5000317901,3341640,1880796
Kv,get,256,1024,16,588251,5000317901,3341640,1880796
Kv,set,256,1024,16,1053118,10000487792,3491868,2265600
Kv,get,256,1024,16,1050859,10000487792,3491868,2265600
Kv,set,256,1024,16,1216852,15000627035,3488736,3061760
Kv,get,256,1024,16,1214226,15000627035,3488736,3061760
Kv,set,1024,1024,16,407242,5000305257,3253324,1843200
Kv,get,1024,1024,16,407242,5000305257,3253324,1843200
Kv,set,1024,1024,16,573354,10000457935,3327068,2313728
Kv,get,1024,1024,16,573037,10000457935,3327068,2313728
Kv,set,1024,1024,16,982810,15000618559,3384112,3247104
Kv,get,1024,1024,16,982402,15000618559,3384112,3247104
Kv,set,4096,1024,16,144534,5000311287,3343124,1976320
Kv,get,4096,1024,16,144206,5000311287,3343124,1976320
Kv,set,4096,1024,16,247382,10000466210,3362580,2209280
Kv,get,4096,1024,16,246189,10000466210,3362580,2209280
Kv,set,4096,1024,16,411231,15000629699,3361184,3209216
Kv,get,4096,1024,16,409791,15000629699,3361184,3209216
Kv,set,16384,1024,16,57514,5000789321,3201656,2166697
Kv,get,16384,1024,16,56830,5000789321,3201656,2166697
Kv,set,16384,1024,16,120371,10398825346,4095608,4246006
Kv,get,16384,1024,16,119251,10398825346,4095608,4246006
Kv,set,16384,1024,16,161974,15435539940,5520760,6088452
Kv,get,16384,1024,16,160900,15435539940,5520760,6088452
Kv2,set,4,1024,16,705527,5000294476,3364376,1810944
Kv2,get,4,1024,16,704936,5000294476,3364376,1810944
Kv2,set,4,1024,16,1129660,10000447716,3395300,2331648
Kv2,get,4,1024,16,1127729,10000447716,3395300,2331648
Kv2,set,4,1024,16,1603275,15000619661,3402724,3230720
Kv2,get,4,1024,16,1601432,15000619661,3402724,3230720
Kv2,set,16,1024,16,713625,5000892927,3374680,1824768
Kv2,get,16,1024,16,714398,5000892927,3374680,1824768
Kv2,set,16,1024,16,1141625,10001069691,3394724,2478080
Kv2,get,16,1024,16,1143678,10001069691,3394724,2478080
Kv2,set,16,1024,16,1651476,15001239251,3398052,3609088
