name,operation,key size(B),value size(B),insert size,time(ns),vmrss(KB),file size(KB)
Kv,set,8,256,16384,52317067,40956,8704
Kv,set,8,256,32768,108854857,48348,16384
Kv,set,8,256,65536,212059960,63332,30208
Kv,get,8,256,16384,7504107,62820,30208
Kv,get,8,256,32768,15659334,62820,30208
Kv,get,8,256,65536,31042616,62820,30208
Kv,set,8,4096,16384,192113567,278884,169984
Kv,set,8,4096,32768,386098851,523620,355328
Kv,set,8,4096,65536,745305519,845924,699392
Kv,get,8,4096,16384,13276522,845924,699392
Kv,get,8,4096,32768,25891785,845924,699392
Kv,get,8,4096,65536,50297071,845924,699392
Kv,set,1024,256,16384,89856605,584004,46080
Kv,set,1024,256,32768,176715337,584004,92160
Kv,set,1024,256,65536,341876397,584004,172544
Kv,get,1024,256,16384,11839858,584004,172544
Kv,get,1024,256,32768,23444501,584004,172544
Kv,get,1024,256,65536,46311601,584004,172544
Kv,set,1024,4096,16384,170578664,589636,209920
Kv,set,1024,4096,32768,369422116,640836,385536
Kv,set,1024,4096,65536,808707387,975684,812544
Kv,get,1024,4096,16384,17459875,975684,812544
Kv,get,1024,4096,32768,34642897,975684,812544
Kv,get,1024,4096,65536,67742448,975684,812544
Persy,set,8,256,16384,31844077153,975940,11810
Persy,set,8,256,32768,64048722025,975940,23847
Persy,set,8,256,65536,128299148739,975940,40376
Persy,get,8,256,16384,185831600,975940,40904
Persy,get,8,256,32768,368795312,975940,41437
Persy,get,8,256,65536,817887239,975940,42502
Persy,set,8,4096,16384,44241319613,975940,178400
Persy,set,8,4096,32768,87088482608,975940,360676
Persy,set,8,4096,65536,178808859955,975940,622841
Persy,get,8,4096,16384,1135972202,975940,623435
Persy,get,8,4096,32768,2183735534,975940,624035
Persy,get,8,4096,65536,4377271713,975940,625234
Persy,set,1024,256,16384,34925999260,975940,47356
Persy,set,1024,256,32768,69771460672,975940,97021
Persy,set,1024,256,65536,140706842284,975940,163203
Persy,get,1024,256,16384,470334012,975940,163735
Persy,get,1024,256,32768,932689110,975940,164268
Persy,get,1024,256,65536,2246430585,975940,165333
Persy,set,1024,4096,16384,50134240782,975940,187620
Persy,set,1024,4096,32768,104651899851,975940,380134
Persy,set,1024,4096,65536,213962869163,975940,651883
Persy,get,1024,4096,16384,1389031519,975940,652482
Persy,get,1024,4096,32768,2682018616,975940,653081
Persy,get,1024,4096,65536,7230902561,975940,654280
Redb,set,8,256,16384,33715525974,976196,16972
Redb,set,8,256,32768,68663598622,976196,33420
Redb,set,8,256,65536,135920045744,976196,66316
Redb,get,8,256,16384,10610995,976196,66316
Redb,get,8,256,32768,20892308,976196,66316
Redb,get,8,256,65536,41462418,976196,66316
Redb,set,8,4096,16384,60437296026,976196,263692
Redb,set,8,4096,32768,121672617028,976196,526860
Redb,set,8,4096,65536,241943663699,976196,1053196
Redb,get,8,4096,16384,47602417,976196,1053196
Redb,get,8,4096,32768,94829265,976196,1053196
Redb,get,8,4096,65536,188246822,976196,1053196
Redb,set,1024,256,16384,47568997640,976196,66316
Redb,set,1024,256,32768,93926568045,976196,132108
Redb,set,1024,256,65536,189053299627,976196,263692
Redb,get,1024,256,16384,35692337,976196,263692
Redb,get,1024,256,32768,71264748,976196,263692
Redb,get,1024,256,65536,124306601,976196,263692
Redb,set,1024,4096,16384,62402538986,976196,263692
Redb,set,1024,4096,32768,125221720242,976196,526860
Redb,set,1024,4096,65536,248991936641,976196,1053196
Redb,get,1024,4096,16384,69113194,976196,1053196
Redb,get,1024,4096,32768,139927623,976196,1053196
Redb,get,1024,4096,65536,247196358,976196,1053196
Rkv,set,8,256,16384,82015113182,976196,4752
