name,operation,key size(B),value size(B),thread,insert size,time(ns),vmrss(KB),file size(B)
Kv,set,8,256,2,250849,1000162624,149376,110592
Kv,get,8,256,2,250899,1000162624,149376,110592
Kv,set,8,256,8,571518,1000373053,435584,307200
Kv,get,8,256,8,571091,1000373053,435584,307200
Kv,set,8,256,32,981631,1004024660,1084628,314944
Kv,get,8,256,32,983745,1004024660,1084628,314944
Kv,set,8,4096,2,121205,1000126676,2379008,312320
Kv,get,8,4096,2,120942,1000126676,2379008,312320
Kv,set,8,4096,8,204632,1000228229,4004928,323584
Kv,get,8,4096,8,204881,1000228229,4004928,323584
Kv,set,8,4096,32,205108,1002918450,5787772,435200
Kv,get,8,4096,32,204562,1002918450,5787772,435200
Kv,set,1024,256,2,182875,1000128670,4172712,434688
Kv,get,1024,256,2,181735,1000128670,4172712,434688
Kv,set,1024,256,8,473322,1000203963,4376248,516584
Kv,get,1024,256,8,474648,1000203963,4376248,516584
Kv,set,1024,256,32,548505,1015008151,5219840,566784
Kv,get,1024,256,32,548258,1015008151,5219840,566784
Kv,set,1024,4096,2,88363,1000118220,5136372,543232
Kv,get,1024,4096,2,89258,1000118220,5136372,543232
Kv,set,1024,4096,8,138857,1000209002,5937732,585216
Kv,get,1024,4096,8,139223,1000209002,5937732,585216
Kv,set,1024,4096,32,141233,1005678605,6737256,619360
Kv,get,1024,4096,32,141315,1005678605,6737256,619360
Persy,set,8,256,2,301,1000150572,6763112,415
Persy,get,8,256,2,336,1000150572,6763112,415
Persy,set,8,256,2,752,2000296204,6763112,671
Persy,get,8,256,2,803,2000296204,6763112,671
Persy,set,8,256,2,1159,3000475851,6763112,832
Persy,get,8,256,2,1205,3000475851,6763112,832
Persy,set,8,256,2,1508,4000619439,6763112,992
Persy,get,8,256,2,1589,4000619439,6763112,992
Persy,set,8,256,2,1875,5000758629,6763112,1088
Persy,get,8,256,2,1913,5000758629,6763112,1088
Persy,set,8,256,2,2283,6000903100,6763112,1760
Persy,get,8,256,2,2291,6000903100,6763112,1760
Persy,set,8,256,2,2578,7001066596,6763112,1888
Persy,get,8,256,2,2601,7001066596,6763112,1888
Persy,set,8,256,2,3031,8001215024,6763112,1888
Persy,get,8,256,2,3067,8001215024,6763112,1888
Persy,set,8,256,2,3540,9001388579,6763112,1824
Persy,get,8,256,2,3587,9001388579,6763112,1824
Persy,set,8,256,2,4007,10001543068,6763112,2112
Persy,get,8,256,2,4042,10001543068,6763112,2112
Persy,set,8,256,2,4462,11001709419,6763112,3649
Persy,get,8,256,2,4505,11001709419,6763112,3649
Persy,set,8,256,2,4968,12001855823,6763112,3713
Persy,get,8,256,2,4951,12001855823,6763112,3713
Persy,set,8,256,2,5475,13001990715,6763112,3745
Persy,get,8,256,2,5479,13001990715,6763112,3745
Persy,set,8,256,2,5981,14002127701,6763112,3745
Persy,get,8,256,2,5937,14002127701,6763112,3745
Persy,set,8,256,2,6469,15002265087,6763112,3745
Persy,get,8,256,2,6415,15002265087,6763112,3745
Persy,set,8,256,2,6990,16002413916,6763112,3745
Persy,get,8,256,2,6957,16002413916,6763112,3745
Persy,set,8,256,2,7536,17002568204,6763112,3809
Persy,get,8,256,2,7533,17002568204,6763112,3809
Persy,set,8,256,2,8030,18002740687,6763112,5857
Persy,get,8,256,2,8071,18002740687,6763112,5857
Persy,set,8,256,2,8524,19002888303,6763112,7553
Persy,get,8,256,2,8561,19002888303,6763112,7553
Persy,set,8,256,2,9054,20003026311,6763112,7681
Persy,get,8,256,2,9113,20003026311,6763112,7681
Persy,set,8,256,2,9574,21003180630,6763112,7649
Persy,get,8,256,2,9653,21003180630,6763112,7649
Persy,set,8,256,2,10077,22003357511,6763112,7681
Persy,get,8,256,2,10184,22003357511,6763112,7681
Persy,set,8,256,2,10595,23003515767,6763112,7585
Persy,get,8,256,2,10738,23003515767,6763112,7585
Persy,set,8,256,2,11115,24003687829,6763112,7713
Persy,get,8,256,2,11308,24003687829,6763112,7713
Persy,set,8,256,2,11645,25003842669,6763112,7713
Persy,get,8,256,2,11790,25003842669,6763112,7713
Persy,set,8,256,2,12150,26004003800,6763112,7649
Persy,get,8,256,2,12252,26004003800,6763112,7649
Persy,set,8,256,2,12656,27004145926,6763112,7811
Persy,get,8,256,2,12750,27004145926,6763112,7811
Persy,set,8,256,2,13168,28004304022,6763112,7779
Persy,get,8,256,2,13228,28004304022,6763112,7779
Persy,set,8,256,2,13663,29004481254,6763112,7779
Persy,get,8,256,2,13789,29004481254,6763112,7779
Persy,set,8,256,2,14157,30004633017,6763112,7779
Persy,get,8,256,2,14216,30004633017,6763112,7779
Persy,set,8,256,2,14684,31004775934,6763112,7715
Persy,get,8,256,2,14755,31004775934,6763112,7715
Persy,set,8,256,2,15214,32004934521,6763112,7747
Persy,get,8,256,2,15248,32004934521,6763112,7747
Persy,set,8,256,2,15571,33005113707,6763112,7779
Persy,get,8,256,2,15606,33005113707,6763112,7779
Persy,set,8,256,2,15861,34005271021,6763112,11555
Persy,get,8,256,2,15907,34005271021,6763112,11555
Persy,set,8,256,2,16212,35005433966,6763112,12003
Persy,get,8,256,2,16235,35005433966,6763112,12003
Persy,set,8,256,2,16651,36005573827,6763112,15174
Persy,get,8,256,2,16648,36005573827,6763112,15174
Persy,set,8,256,2,17157,37005731052,6763112,15430
