name,operation,key size(B),value size(B),thread,operation count,time(ns),vmrss(KB),file size(B)
Kv,range,1024,64,1,558208,1000117123,1817960,8695296
Kv,range,1024,64,1,1187584,2000564039,2057464,8696320
Kv,range,1024,64,1,1879424,3000822549,2116080,8696832
Kv,range,1024,64,1,2568960,4002892100,2129384,8697856
Kv,range,1024,64,1,3244672,5009190749,2147560,8698368
Kv,range,1024,64,1,3921280,6015678185,2162664,8698368
Kv,range,1024,64,1,4597677,7020585586,2173156,8698880
Kv,range,1024,64,1,5000000,8026217064,2136720,8698880
Kv2,range,1024,64,1,666427,1000077338,2914880,8334848
Kv2,range,1024,64,1,1331239,2000608503,3095616,8335360
Kv2,range,1024,64,1,2021632,3001154536,3131200,8336384
Kv2,range,1024,64,1,2705280,4006846158,3147840,8336896
Kv2,range,1024,64,1,3390592,5013731746,3152960,8337408
Kv2,range,1024,64,1,4061087,6020215434,3163200,8337408
Kv2,range,1024,64,1,4719488,7026453008,3164480,8337408
Kv2,range,1024,64,1,5000000,8032926317,3143616,8337920
Rocksdb,range,1024,64,1,1099904,1000084442,3198912,935701
Rocksdb,range,1024,64,1,2143904,2000477436,3207360,1021716
Rocksdb,range,1024,64,1,3234224,3000749381,3215808,1113613
Rocksdb,range,1024,64,1,4362889,4000987032,3224000,1215551
Rocksdb,range,1024,64,1,5000000,5001268926,3163084,694460
Sled,range,1024,64,1,554256,1000097183,2891284,8229888
Sled,range,1024,64,1,1212938,2000514570,3133716,8230417
Sled,range,1024,64,1,1921309,3000923723,3192596,8230912
Sled,range,1024,64,1,2565248,4005651863,3210260,8230912
Sled,range,1024,64,1,3253760,5012206462,3219988,8230912
Sled,range,1024,64,1,3933726,6016694078,3241748,8230912
Sled,range,1024,64,1,4627851,7022714469,3251220,8230912
Sled,range,1024,64,1,5000000,8028587882,3115228,8230912
